,pops,dyadic,triad003,triad102,triad201,triad300,total_triads,huskies_actions,huskies_action_ratio,passings,success_passings,passing_ratio,shot_times,outcome,side,coach,pass_to_penalty
0,397,94,356,93,170,160,779,864,0.56895155,482,369,0.758088235,8,1,1,1,32
1,265,79,390,177,177,94,838,608,0.413846595,276,180,0.648472076,7,0,0,1,16
2,315,96,336,94,174,160,764,707,0.438778112,419,324,0.765097,7,0,0,1,10
3,278,100,270,41,146,197,654,782,0.48280597,446,354,0.793896969,9,0,1,1,25
4,350,110,358,99,198,222,877,801,0.499587089,469,382,0.814362108,6,0,0,1,14
5,334,95,356,130,205,152,843,780,0.504186603,414,318,0.7646178,15,1,1,1,39
6,397,111,310,81,210,220,821,905,0.590973547,501,384,0.764399166,24,0,1,1,56
7,445,91,391,137,188,148,864,793,0.507273449,424,295,0.687191089,11,0,0,1,16
8,318,81,332,127,184,108,751,598,0.385288161,267,168,0.628860191,7,0,1,1,14
9,383,94,218,53,146,181,598,852,0.550014337,456,359,0.785959664,13,0,0,2,36
10,253,90,410,140,194,137,881,697,0.443448296,285,183,0.636766076,8,1,1,2,28
11,467,69,319,133,145,78,675,644,0.413952334,240,132,0.551748252,7,0,0,2,11
12,355,94,393,128,203,149,873,660,0.385062528,303,247,0.816073781,5,0,0,2,12
13,195,102,395,116,200,183,894,813,0.495190312,412,347,0.838628763,6,1,1,2,23
14,335,103,425,111,225,173,934,766,0.521227709,346,271,0.78219697,6,1,1,3,28
15,227,53,247,138,117,35,537,512,0.319041792,159,80,0.505226481,1,0,0,3,5
16,409,84,383,172,151,134,840,777,0.478527691,406,304,0.721275383,7,1,0,3,21
17,301,93,327,84,179,167,757,738,0.510021511,415,312,0.753204672,10,1,1,3,18
18,329,89,244,42,126,160,572,713,0.416135556,320,248,0.773509623,4,0,1,3,23
19,374,94,404,137,194,146,881,734,0.50707457,324,230,0.704361936,5,0,0,3,27
20,435,105,423,116,172,201,912,858,0.534776839,461,366,0.78445146,7,0,0,3,37
21,330,93,261,131,215,141,748,715,0.42974819,353,239,0.672159354,10,0,1,3,33
22,392,92,444,147,204,138,933,724,0.43457471,343,236,0.688372489,5,0,0,3,20
23,409,90,241,118,170,145,674,923,0.555200793,462,320,0.692309135,8,0,1,3,29
24,362,90,347,110,152,160,769,717,0.489441804,331,249,0.749798224,11,1,1,3,27
25,259,99,300,73,183,188,744,693,0.445261652,355,287,0.802947891,11,0,0,3,38
26,279,91,275,117,148,159,699,726,0.511616294,373,283,0.755704052,8,1,1,3,36
27,339,91,399,155,194,134,882,769,0.492287829,334,238,0.714290841,4,0,0,3,33
28,274,90,436,145,184,139,904,748,0.48914795,325,220,0.677992278,10,0,0,3,24
29,337,90,421,141,210,133,905,786,0.554060829,404,312,0.77111328,12,1,1,3,45
30,405,95,430,130,199,155,914,768,0.551022677,430,329,0.764843344,15,1,0,3,33
31,192,59,406,238,124,50,818,419,0.248007367,182,109,0.591414141,5,0,1,3,18
32,263,82,324,136,168,110,738,712,0.438899868,315,207,0.657272727,6,0,1,3,23
33,302,99,386,122,197,171,876,766,0.492674948,405,336,0.823405612,10,0,0,3,25
34,424,92,420,132,171,163,886,865,0.525112505,469,347,0.72538602,7,1,1,3,27
35,379,97,361,127,193,170,851,786,0.487429199,408,302,0.733516484,6,1,0,3,23
36,356,89,283,99,191,134,707,804,0.539543481,388,293,0.756688068,6,0,1,3,25
37,364,91,330,105,160,160,755,616,0.452669173,341,275,0.798434201,13,0,0,3,16
